image_id,file_name,image_type,quality,x,y,z
734,20220425.133510.241.CD4-012_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,155,153,49
729,20220425.133847.584.CD4-013_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,135,146,49
727,20220425.134119.520.CD4-014_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,138,134,49
725,20220425.134234.881.CD4-015_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,149,136,49
720,20220425.134449.350.CD4-016_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,149,136,95
719,20220425.134522.659.CD4-017_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,125,113,109
717,20220425.134542.163.CD4-018_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,136,125,109
713,20220425.134624.209.CD4-019_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,137,146,107
709,20220425.134658.335.CD4-020_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,127,144,116
706,20220425.134733.067.CD4-021_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,127,144,63
703,20220425.135010.691.CD4-022_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,127,144,100
700,20220425.135135.191.CD4-023_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,145,143,111
696,20220425.135259.894.CD4-024_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,127,135,111
693,20220425.135725.991.CD4-025_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,144,65,100
692,20220425.135811.897.CD4-026_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,148,142,116
688,20220425.140407.159.CD4-027_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,123,129,52
685,20220425.140655.957.CD4-028_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,120,152,52
681,20220425.140821.068.CD4-029_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,121,158,52
678,20220425.141241.880.CD4-030_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,146,145,52
675,20220425.141606.223.CD4-031_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,149,133,65
674,20220425.141739.863.CD4-032_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,156,146,58
669,20220425.141856.034.CD4-033_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,138,146,58
667,20220425.142459.628.CD4-034_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,121,155,95
663,20220425.142515.067.CD4-035_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,145,132,105
662,20220425.142541.676.CD4-036_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,132,126,105
658,20220425.142557.319.CD4-037_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,134,154,105
656,20220425.142621.691.CD4-038_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,137,140,105
653,20220425.142639.161.CD4-039_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,131,137,105
648,20220425.142705.159.CD4-040_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,156,163,105
645,20220425.142724.052.CD4-041_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,148,132,113
644,20220425.142744.770.CD4-042_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,120,166,99
640,20220425.142807.315.CD4-043_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,129,142,94
637,20220425.142827.020.CD4-044_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,158,115,99
634,20220425.142848.349.CD4-045_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,136,138,99
632,20220425.142909.268.CD4-046_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,145,141,99
628,20220425.142923.286.CD4-047_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,147,129,101
625,20220425.142939.537.CD4-048_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,129,139,107
622,20220425.142955.581.CD4-049_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,178,113,107
619,20220425.143015.284.CD4-050_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,142,143,115
616,20220425.143144.049.CD4-051_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,122,140,99
612,20220425.143201.520.CD4-052_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,129,136,99
611,20220425.143220.612.CD4-053_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,185,135,99
606,20220425.143250.474.CD4-054_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,145,125,109
603,20220425.143310.787.CD4-055_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,136,132,109
601,20220425.143340.237.CD4-056_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,136,132,125
599,20220425.143405.020.CD4-057_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,138,134,113
596,20220425.143428.178.CD4-058_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,140,143,113
593,20220425.143446.457.CD4-059_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,156,138,113
590,20220425.143507.176.CD4-060_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,126,128,113
585,20220425.143529.520.CD4-061_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,143,129,107
584,20220425.143550.440.CD4-062_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,135,132,104
580,20220425.143616.036.CD4-063_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,153,140,111
577,20220425.143632.691.CD4-064_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,153,140,116
574,20220425.143725.100.CD4-065_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,148,142,103
571,20220425.143816.084.CD4-066_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,137,150,103
569,20220425.143841.069.CD4-067_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,163,135,98
566,20220425.143916.007.CD4-068_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,125,149,98
561,20220425.143942.817.CD4-069_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,126,135,98
560,20220425.144017.143.CD4-070_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,145,143,98
1385,20220422.130233.068.CD4-001_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,155,147,105
1383,20220422.130450.377.CD4-002_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,138,134,109
1379,20220422.130719.674.CD4-003_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,125,114,109
1375,20220422.130820.002.CD4-004_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,144,200,117
1370,20220422.130934.754.CD4-005_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,129,144,113
1374,20220422.131112.255.CD4-006_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,132,134,106
1368,20220422.131133.380.CD4-007_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,138,132,115
1365,20220422.131153.085.CD4-008_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,155,122,107
1358,20220422.131252.394.CD4-009_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,117,123,107
1362,20220422.131315.550.CD4-010_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,146,130,107
1354,20220422.131335.865.CD4-011_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,128,121,107
1356,20220422.131831.410.CD4-012_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,130,148,108
1350,20220422.131920.160.CD4-013_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,132,166,109
1344,20220422.132025.972.CD4-014_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,133,149,109
1346,20220422.132249.379.CD4-015_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,129,142,109
1342,20220422.132548.534.CD4-016_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,137,175,111
1338,20220422.132611.489.CD4-017_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,138,143,111
1335,20220422.132629.160.CD4-018_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,144,203,111
1333,20220422.132647.241.CD4-019_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,99,127,111
1328,20220422.132715.268.CD4-020_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,157,145,111
1321,20220422.132734.769.CD4-021_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,139,127,111
1324,20220422.132819.661.CD4-022_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,131,128,111
1320,20220422.132958.379.CD4-023_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,138,98,98
1319,20220422.133037.176.CD4-024_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,101,110,106
1313,20220422.133055.661.CD4-025_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,153,95,106
1311,20220422.133159.441.CD4-026_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,140,143,106
1306,20220422.133306.268.CD4-027_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,142,130,106
1305,20220422.133659.456.CD4-028_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,145,136,106
1300,20220422.133720.380.CD4-029_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,136,131,98
1298,20220422.133752.474.CD4-030_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,144,131,122
1294,20220422.133836.144.CD4-031_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,135,134,89
1293,20220422.133950.894.CD4-032_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,108,69,76
1289,20220422.134532.146.CD4-033_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,121,149,105
1287,20220422.134648.518.CD4-034_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,150,11,116
1282,20220422.134720.817.CD4-035_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,127,132,114
1281,20220422.134756.771.CD4-036_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,138,116,114
1278,20220422.134837.398.CD4-037_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,132,128,114
1275,20220422.134923.303.CD4-038_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,136,125,114
1270,20220422.135007.176.CD4-039_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,134,145,109
1269,20220422.135033.380.CD4-040_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,131,126,95
1266,20220422.135102.833.CD4-041_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,145,137,109
1262,20220422.135617.272.CD4-042_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,155,147,55
1258,20220422.140206.647.CD4-043_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,115,138,111
1256,20220422.140334.800.CD4-044_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,130,123,104
1253,20220422.140438.380.CD4-045_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,130,112,104
1250,20220422.140645.332.CD4-046_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,144,115,104
1246,20220422.140903.456.CD4-047_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,127,126,104
1245,20220422.141041.567.CD4-048_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,131,110,104
1242,20220422.141819.615.CD4-049_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,151,129,120
1240,20220422.141934.770.CD4-050_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,148,146,47
1615,20220421.194549.269.CD4-001_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,138,138,112
1614,20220421.195116.302.CD4-002_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,130,154,105
1608,20220421.201649.160.CD4-003_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,151,141,105
1605,20220421.201921.706.CD4-004_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,136,148,105
1604,20220421.201926.379.CD4-005_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,131,155,105
1599,20220421.202057.583.CD4-006_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,142,146,105
1595,20220421.202133.737.CD4-007_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,137,141,97
1597,20220421.202304.334.CD4-008_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,127,139,107
1588,20220421.202522.661.CD4-009_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,144,127,107
1589,20220421.203143.318.CD4-010_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,131,134,106
1421,20220421.211546.991.CD4-011_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,135,126,102
1406,20220421.221708.424.CD4-012_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,126,137,97
1401,20220421.223026.504.CD4-013_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,115,119,100
1398,20220421.223657.722.CD4-014_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,136,136,119
1397,20220421.223722.096.CD4-015_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,145,190,111
1394,20220421.223938.599.CD4-016_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,142,124,102
1389,20220421.224009.065.CD4-017_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,118,127,102
2089,20220405.202029.785.CD4-001_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,142,124,92
2086,20220405.202345.596.CD4-002_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,145,131,70
2081,20220405.202411.393.CD4-003_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,157,153,70
2080,20220405.202433.944.CD4-004_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,151,146,70
2077,20220405.202544.832.CD4-005_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,150,132,83
2073,20220405.202738.784.CD4-006_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,153,133,83
2068,20220405.203413.862.CD4-007_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,140,126,106
2067,20220405.203440.472.CD4-008_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,126,148,106
2065,20220405.203506.879.CD4-009_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,145,138,106
2062,20220405.203555.428.CD4-010_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,128,138,106
2058,20220405.203624.880.CD4-011_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,145,113,106
2056,20220405.203659.816.CD4-012_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,152,114,106
2052,20220405.203728.050.CD4-013_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,149,124,106
2048,20220405.203755.067.CD4-014_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,144,110,106
2046,20220405.203826.348.CD4-015_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,129,110,106
2040,20220405.203844.424.CD4-016_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,147,116,106
2042,20220405.203912.864.CD4-017_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,127,129,106
2038,20220405.203935.209.CD4-018_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,142,129,106
2033,20220405.204002.831.CD4-019_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,110,131,106
2032,20220405.204023.960.CD4-020_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,137,138,106
2029,20220405.204052.599.CD4-021_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,125,205,106
2024,20220405.204134.846.CD4-022_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,134,146,113
2020,20220405.204226.645.CD4-023_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,148,147,108
2018,20220405.204253.052.CD4-024_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,126,127,108
2015,20220405.204316.007.CD4-025_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,157,131,108
2014,20220405.204346.880.CD4-026_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,147,129,108
2011,20220405.204407.598.CD4-027_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,138,127,108
2009,20220405.204503.050.CD4-028_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,143,121,108
2003,20220405.204533.722.CD4-029_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,142,109,111
1999,20220405.204613.742.CD4-030_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,135,138,101
2001,20220405.204635.268.CD4-031_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,151,137,115
1997,20220405.204656.600.CD4-032_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,148,148,106
1993,20220405.204717.722.CD4-033_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,145,142,106
1992,20220405.204742.302.CD4-034_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,170,113,115
1990,20220405.204813.988.CD4-035_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,148,114,115
1985,20220405.204844.255.CD4-036_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,140,125,107
1978,20220405.204909.443.CD4-037_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,149,137,107
1981,20220405.204953.115.CD4-038_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,127,127,108
1975,20220405.205014.442.CD4-039_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,128,130,107
1973,20220405.205028.662.CD4-040_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,144,133,107
1967,20220405.205101.160.CD4-041_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,144,133,107
1966,20220405.205132.442.CD4-042_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,137,143,115
1962,20220405.205203.315.CD4-043_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,147,137,115
1956,20220405.205241.913.CD4-044_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,145,130,107
1958,20220405.205308.317.CD4-045_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,152,140,107
1954,20220405.205332.082.CD4-046_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,146,148,107
1955,20220405.205426.927.CD4-047_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,123,139,107
1949,20220405.205453.130.CD4-048_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,152,136,107
2809,20220502.132428.682.CD4-001_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,103,171,105
2806,20220502.132657.775.CD4-002_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,94,166,98
2804,20220502.132735.153.CD4-003_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,133,148,98
2801,20220502.132819.841.CD4-004_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,136,139,98
2800,20220502.133000.387.CD4-005_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,134,145,93
2797,20220502.133103.356.CD4-006_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,134,145,107
2798,20220502.133206.122.CD4-007_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,128,156,117
2794,20220502.133503.041.CD4-008_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,180,183,90
2792,20220502.133654.559.CD4-009_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,140,140,96
2789,20220502.133725.434.CD4-010_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,125,133,108
2781,20220502.133914.510.CD4-011_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,134,114,104
2783,20220502.134137.510.CD4-012_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,110,158,92
2776,20220502.134400.714.CD4-013_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,100,145,95
2777,20220502.134902.559.CD4-014_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,113,164,114
2772,20220502.134955.778.CD4-015_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,100,173,122
2768,20220502.135143.635.CD4-016_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,116,136,113
2769,20220502.135212.277.CD4-017_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,131,133,113
2767,20220502.135246.405.CD4-018_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,143,136,113
2766,20220502.135437.511.CD4-019_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,127,153,108
2759,20220502.135525.651.CD4-020_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,127,153,104
2757,20220502.135622.731.CD4-021_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,104,126,97
2751,20220502.135657.871.CD4-022_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,104,126,97
2750,20220502.135742.354.CD4-023_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,126,155,91
2746,20220502.135834.964.CD4-024_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,127,138,97
2741,20220502.135858.731.CD4-025_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,142,126,97
2744,20220502.140001.699.CD4-026_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,138,142,97
2737,20220502.140106.699.CD4-027_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,127,143,112
2736,20220502.140209.869.CD4-028_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,127,130,112
2732,20220502.140400.372.CD4-029_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,127,130,101
2731,20220502.140441.607.CD4-030_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,133,132,101
2726,20220502.140543.357.CD4-031_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,151,158,101
2723,20220502.140605.699.CD4-032_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,147,147,101
2720,20220502.140703.184.CD4-033_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,151,134,96
2717,20220502.140849.419.CD4-034_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,160,124,82
2712,20220502.141107.341.CD4-035_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,153,146,62
2706,20220502.141142.076.CD4-036_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,150,152,62
2708,20220502.141509.665.CD4-037_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,189,142,62
2702,20220502.141928.447.CD4-038_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,158,147,62
2703,20220502.141949.166.CD4-039_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,153,147,73
2694,20220502.142058.025.CD4-040_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,134,134,67
2695,20220502.142259.697.CD4-041_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,135,148,57
2691,20220502.142326.513.CD4-042_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,113,135,119
2689,20220502.142709.541.CD4-043_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,143,171,48
2688,20220502.142737.572.CD4-044_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,146,145,48
2683,20220502.142928.479.CD4-045_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,152,114,66
2681,20220502.143020.275.CD4-046_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,148,159,66
2677,20220502.143051.761.CD4-047_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,142,150,54
2676,20220502.143121.009.CD4-048_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,140,132,54
2672,20220502.143244.291.CD4-049_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,146,116,54
2669,20220502.143524.150.CD4-050_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,137,156,54
3006,20220504.174949.024.CD4-001_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,138,138,46
3001,20220504.175751.039.CD4-002_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,212,195,71
3003,20220504.180103.597.CD4-003_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,168,159,91
2998,20220504.180201.287.CD4-004_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,120,135,104
2833,20220504.194953.249.CD4-005_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,136,188,97
2830,20220504.195249.560.CD4-006_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,137,138,108
2828,20220504.201629.189.CD4-007_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,116,140,103
2820,20220504.201823.753.CD4-008_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,156,130,113
2822,20220504.204000.089.CD4-009_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,127,114,105
2817,20220504.204039.493.CD4-010_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,76,94,113
2815,20220504.204126.415.CD4-011_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,135,111,103
2811,20220504.204251.928.CD4-012_RI Tomogram.tiff,HOLOTOMOGRAPHY,0,132,154,99
3595,20220510.160953.458.CD4-005_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,132,138,57
3587,20220510.161012.347.CD4-006_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,147,143,57
3588,20220510.161039.972.CD4-007_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,141,135,57
3582,20220510.161156.553.CD4-008_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,160,156,57
3581,20220510.161251.193.CD4-009_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,134,135,68
3575,20220510.161515.207.CD4-010_RI Tomogram.tiff,HOLOTOMOGRAPHY,1,127,211,45
